242,4468,4402,Crt
243,4402,4382,Crt
244,4382,4287,Crt
245,4287,4343,Crt
246,4343,4405,Crt
247,4405,4514,Crt
248,4514,4567,Crt
249,4382,4405,Crt
250,4730,4763,Cru
251,4853,4656,Cru
252,7924,7796,Cyg
253,7796,7417,Cyg
254,7328,7420,Cyg
255,7420,7528,Cyg
256,7528,7796,Cyg
257,7796,7949,Cyg
258,7949,8115,Cyg
259,7852,7882,Del
260,7882,7906,Del
261,7906,7947,Del
262,7947,7928,Del
263,7928,7882,Del
264,1338,1465,Dor
265,1465,1922,Dor
266,1465,1674,Dor
267,1674,1922,Dor
268,1922,2015,Dor
269,2015,2102,Dor
270,2102,1922,Dor
271,6705,6688,Dra
272,6705,6536,Dra
273,6536,6554,Dra
274,6554,6688,Dra
275,6688,7310,Dra
276,7310,7582,Dra
277,7582,6927,Dra
278,6927,6396,Dra
279,6396,6132,Dra
280,6132,5986,Dra
281,5986,5744,Dra
282,5744,5291,Dra
283,5291,4787,Dra
284,4787,4434,Dra
285,8131,8123,Equ
286,8123,8097,Equ
287,1666,1520,Eri
288,1520,1463,Eri
289,1463,1298,Eri
290,1298,1231,Eri
291,1231,1162,Eri
292,1162,1136,Eri
293,1136,1084,Eri
294,1084,874,Eri
295,874,811,Eri
296,811,818,Eri
297,818,919,Eri
298,919,1003,Eri
299,1003,1088,Eri
300,1088,1173,Eri
301,1173,1213,Eri
302,1213,1240,Eri
303,1240,1453,Eri
304,1453,1464,Eri
305,1464,1393,Eri
306,1393,1347,Eri
307,1347,1195,Eri
308,1195,1106,Eri
309,1106,1008,Eri
310,1008,897,Eri
311,897,794,Eri
312,794,789,Eri
313,789,721,Eri
314,721,566,Eri
315,566,472,Eri
316,963,841,For
317,841,612,For
318,612,749,For
319,749,963,For
320,2540,2697,Gem
321,2697,2821,Gem
322,2821,2905,Gem
323,2905,2985,Gem
324,2891,2697,Gem
325,2990,2905,Gem
326,2697,2473,Gem
327,2473,2343,Gem
328,2473,2286,Gem
329,2286,2216,Gem
330,2905,2777,Gem
331,2777,2650,Gem
332,2777,2763,Gem
333,2650,2421,Gem
334,2763,2484,Gem
335,8353,8411,Gru
336,8411,8486,Gru
337,8486,8425,Gru
338,8425,8556,Gru
339,8556,8787,Gru
340,8787,8820,Gru
341,8820,8636,Gru
342,8636,8675,Gru
343,8675,8747,Gru
344,8425,8636,Gru
345,6117,6008,Her
346,6008,6095,Her
347,6095,6148,Her
348,6148,6410,Her
349,6410,6526,Her
350,6526,6623,Her
351,6623,6703,Her
352,6703,6779,Her
353,6406,6148,Her
354,6406,6410,Her
355,6148,6212,Her
356,6410,6324,Her
357,5914,6023,Her
358,6023,6092,Her
359,6092,6168,Her
360,6168,6220,Her
361,6220,6212,Her
362,6212,6324,Her
363,6324,6418,Her
364,6418,6484,Her
365,6484,6695,Her
366,6695,6588,Her
367,6220,6418,Her
368,1326,810,Hor
369,810,778,Hor
370,778,802,Hor
371,802,934,Hor
372,934,909,Hor
373,3492,3454,Hya
374,3454,3418,Hya
375,3418,3410,Hya
376,3410,3482,Hya
377,3482,3547,Hya
378,3547,3665,Hya
379,3665,3845,Hya
380,3845,3748,Hya
381,3748,3903,Hya
382,3903,3994,Hya
383,3994,4094,Hya
384,4094,4232,Hya
385,4232,4450,Hya
386,4450,4552,Hya
387,4552,5020,Hya
388,5020,5287,Hya
389,591,570,Hyi
390,570,705,Hyi
391,705,806,Hyi
392,806,98,Hyi
393,98,1208,Hyi
394,7869,7920,Ind
395,7920,7986,Ind
396,7986,8368,Ind
397,8368,8140,Ind
398,8140,7869,Ind
399,8538,8585,Lac
400,8585,8541,Lac
401,8541,8572,Lac
402,8572,8523,Lac
403,8523,8632,Lac
404,8632,8579,Lac
405,8579,8485,Lac
406,8485,8498,Lac
407,4534,4357,Leo
408,4357,4057,Leo
409,4057,4031,Leo
410,4031,3905,Leo
411,3905,3731,Leo
412,3731,3773,Leo
413,3773,3873,Leo
414,3873,3975,Leo
415,3975,3982,Leo
416,3975,4359,Leo
417,4359,4399,Leo
418,4399,4386,Leo
419,4357,4359,Leo
420,4057,3975,Leo
421,3905,3873,Leo
422,4100,4247,LMi
423,4247,4090,LMi
424,4090,3974,LMi
425,3974,4100,LMi
426,3974,3800,LMi
427,1865,1998,Lep
428,1998,2085,Lep
429,2085,2155,Lep
430,2155,2035,Lep
431,2035,1983,Lep
432,1983,1829,Lep
433,1829,1654,Lep
434,1654,1702,Lep
435,1702,1865,Lep
436,1865,1829,Lep
437,1702,1705,Lep
438,1702,1756,Lep
439,5812,5794,Lib
440,5794,5787,Lib
441,5787,5685,Lib
442,5685,5531,Lib
443,5531,5603,Lib
444,5787,5531,Lib
445,5469,5649,Lup
446,5649,5948,Lup
447,5948,5883,Lup
448,5883,5705,Lup
449,5705,5948,Lup
450,5948,5776,Lup
451,5776,5695,Lup
452,5695,5571,Lup
453,5776,5708,Lup
454,5708,5649,Lup
